                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.55237,                0.65513,                0.38243,                0.94488,                0.98671,                0.99961,                0.99477,                0.87017,                0.98671,                0.99961,                0.99477,                 0.9064,                0.47651,                0.59742,                0.32004,                0.92984,              0.0079705,              0.0079705,              0.0079705
                     43,                0.55178,                0.64518,                0.39517,                0.95329,                0.98533,                0.98983,                0.99477,                0.89434,                0.98533,                0.98983,                0.99477,                0.90705,                0.44273,                0.56802,                0.30577,                0.92276,               0.007921,               0.007921,               0.007921
                     44,                0.54086,                0.65422,                0.38669,                0.96368,                0.94388,                0.99655,                0.99453,                0.88301,                0.94388,                0.99655,                0.99453,                0.88858,                0.47379,                0.60335,                0.32513,                0.92792,              0.0078715,              0.0078715,              0.0078715
                     45,                0.52708,                0.66885,                0.38673,                0.94539,                0.97104,                0.98937,                0.99389,                  0.895,                0.97104,                0.98937,                0.99389,                0.89556,                0.45233,                0.55952,                0.31713,                0.92751,               0.007822,               0.007822,               0.007822
                     46,                0.54656,                 0.6529,                0.40222,                 0.9551,                 0.9781,                0.99026,                0.99477,                0.86911,                 0.9781,                0.99026,                0.99477,                0.88947,                0.45342,                0.57756,                0.31835,                0.93801,              0.0077725,              0.0077725,              0.0077725
                     47,                0.56382,                0.70329,                 0.4205,                0.95277,                0.98404,                0.99461,                  0.995,                0.88483,                0.98404,                0.99461,                  0.995,                0.91708,                0.45165,                0.57947,                0.31802,                0.93484,               0.007723,               0.007723,               0.007723
                     48,                0.52446,                0.64233,                0.38975,                0.95315,                0.98345,                      1,                0.99455,                 0.8928,                0.98345,                      1,                0.99455,                0.90425,                0.46517,                0.58902,                0.34418,                0.93908,              0.0076735,              0.0076735,              0.0076735
                     49,                0.53455,                0.66483,                0.39485,                0.96239,                0.99733,                0.99325,                  0.995,                0.90111,                0.99733,                0.99325,                  0.995,                0.90948,                0.45738,                0.57685,                0.32871,                0.94964,               0.007624,               0.007624,               0.007624
                     50,                0.53673,                0.65541,                0.38405,                 0.9471,                0.97995,                0.98846,                  0.995,                 0.8769,                0.97995,                0.98846,                  0.995,                0.90306,                0.45996,                 0.5655,                0.32438,                0.93372,              0.0075745,              0.0075745,              0.0075745
                     51,                0.52401,                0.63099,                0.37601,                0.94261,                 0.9938,                0.99441,                  0.995,                0.88937,                 0.9938,                0.99441,                  0.995,                0.91407,                0.43602,                0.53497,                0.31544,                0.91268,               0.007525,               0.007525,               0.007525
                     52,                 0.5541,                0.61149,                0.39113,                0.95214,                0.98758,                0.99905,                  0.995,                0.90959,                0.98758,                0.99905,                  0.995,                0.90926,                0.41186,                0.53553,                0.30965,                  0.906,              0.0074755,              0.0074755,              0.0074755
                     53,                0.50603,                0.61661,                0.37335,                0.93581,                0.99251,                0.99426,                0.99497,                0.89681,                0.99251,                0.99426,                0.99497,                0.90506,                0.42125,                0.55093,                0.30069,                 0.9141,               0.007426,               0.007426,               0.007426
                     54,                0.51604,                0.58283,                0.36644,                0.94098,                0.99878,                0.99166,                  0.995,                0.90758,                0.99878,                0.99166,                  0.995,                0.92187,                 0.4215,                0.55299,                 0.3022,                0.90463,              0.0073765,              0.0073765,              0.0073765
                     55,                0.52005,                0.63696,                0.37288,                0.94481,                0.99308,                0.99745,                  0.995,                0.92124,                0.99308,                0.99745,                  0.995,                0.91327,                0.42029,                 0.5383,                0.28765,                0.91393,               0.007327,               0.007327,               0.007327
                     56,                0.52388,                0.62956,                0.36413,                0.94574,                0.99499,                0.99316,                  0.995,                 0.8986,                0.99499,                0.99316,                  0.995,                0.90626,                0.45438,                0.54449,                0.29028,                0.92902,              0.0072775,              0.0072775,              0.0072775
                     57,                0.50638,                0.60271,                0.36101,                0.93691,                0.99436,                0.99475,                  0.995,                0.90082,                0.99436,                0.99475,                  0.995,                0.90733,                0.43706,                0.55993,                0.28372,                0.93782,               0.007228,               0.007228,               0.007228
                     58,                0.53107,                0.65103,                0.36972,                0.94313,                0.99151,                      1,                  0.995,                0.90145,                0.99151,                      1,                  0.995,                0.90146,                 0.4476,                0.57685,                0.30189,                 0.9323,              0.0071785,              0.0071785,              0.0071785
